date,股票代码,open,close,high,low,volume,amount,amplitude_pct,pct_chg,change,turnover_rate
2020-02-12,300274,4.29,4.56,4.64,4.21,804748,920743376.0,11.08,17.53,0.68,7.49
2020-02-13,300274,4.69,4.55,4.93,4.47,725452,856147312.0,10.09,-0.22,-0.01,6.75
2020-02-14,300274,4.42,4.32,4.61,4.25,473430,541080464.0,7.91,-5.05,-0.23,4.41
2020-02-17,300274,4.38,4.66,4.74,4.36,438182,509962624.0,8.8,7.87,0.34,4.08
2020-02-18,300274,4.79,5.37,5.51,4.79,902355,1141097312.0,15.45,15.24,0.71,8.4
2020-02-19,300274,5.52,5.4,5.69,5.37,784963,1017278176.0,5.96,0.56,0.03,7.31
2020-02-20,300274,5.76,5.83,6.16,5.62,756510,1015064496.0,10.0,7.96,0.43,7.04
2020-02-21,300274,5.81,6.08,6.46,5.81,773036,1066427856.0,11.15,4.29,0.25,7.19
2020-02-24,300274,5.96,5.91,6.15,5.8,669241,907446832.0,5.76,-2.8,-0.17,6.23
2020-02-25,300274,5.68,5.83,6.08,5.49,660646,878155200.0,9.98,-1.35,-0.08,6.15
2020-02-26,300274,5.56,5.21,5.73,5.17,758246,973019120.0,9.61,-10.63,-0.62,7.06
2020-02-27,300274,5.3,5.21,5.41,5.1,385904,486042592.0,5.95,0.0,0.0,3.59
2020-02-28,300274,4.85,4.41,5.01,4.41,613687,725349632.0,11.52,-15.36,-0.8,5.71
2020-03-02,300274,4.61,4.74,4.89,4.55,464932,552595632.0,7.71,7.48,0.33,4.33
2020-03-03,300274,4.97,4.87,5.13,4.74,458842,559605392.0,8.23,2.74,0.13,4.27
2020-03-04,300274,4.86,4.91,5.02,4.7,345768,416439008.0,6.57,0.82,0.04,3.22
2020-03-05,300274,5.04,5.18,5.34,4.97,507300,631939408.0,7.54,5.5,0.27,4.72
2020-03-06,300274,5.02,4.99,5.14,4.93,314218,385596304.0,4.05,-3.67,-0.19,2.92
2020-03-09,300274,4.72,4.32,4.79,4.29,538135,621211376.0,10.02,-13.43,-0.67,5.01
2020-03-10,300274,4.28,4.64,4.68,4.14,543178,622844176.0,12.5,7.41,0.32,5.06
2020-03-11,300274,4.68,4.69,5.16,4.64,621667,751297504.0,11.21,1.08,0.05,5.79
2020-03-12,300274,4.47,4.72,4.87,4.4,427586,504038112.0,10.02,0.64,0.03,3.98
2020-03-13,300274,4.29,4.78,4.94,4.22,507006,592538256.0,15.25,1.27,0.06,4.72
2020-03-16,300274,4.9,3.93,4.9,3.93,706251,792706960.0,20.29,-17.78,-0.85,6.57
2020-03-17,300274,4.01,3.73,4.11,3.54,393694,414240368.0,14.5,-5.09,-0.2,3.66
2020-03-18,300274,3.84,3.54,3.94,3.54,382107,402104784.0,10.72,-5.09,-0.19,3.56
2020-03-19,300274,3.54,3.68,3.69,3.35,341658,348091600.0,9.6,3.95,0.14,3.18
2020-03-20,300274,3.77,3.67,3.78,3.48,256526,264947009.0,8.15,-0.27,-0.01,2.39
2020-03-23,300274,3.35,3.17,3.43,3.1,325825,319760320.0,8.99,-13.62,-0.5,3.03
2020-03-24,300274,3.33,3.28,3.36,3.03,245749,240044338.0,10.41,3.47,0.11,2.29
2020-03-25,300274,3.53,3.53,3.69,3.43,309931,316515984.0,7.93,7.62,0.25,2.88
2020-03-26,300274,3.46,3.39,3.51,3.36,193118,194034737.0,4.25,-3.97,-0.14,1.8
2020-03-27,300274,3.51,3.43,3.58,3.38,208845,210959791.0,5.9,1.18,0.04,1.94
2020-03-30,300274,3.27,3.17,3.31,3.02,227968,219776710.0,8.45,-7.58,-0.26,2.12
2020-03-31,300274,3.29,3.05,3.31,3.03,198495,191539328.0,8.83,-3.79,-0.12,1.85
2020-04-01,300274,3.06,3.12,3.33,3.02,230713,223882845.0,10.16,2.3,0.07,2.15
2020-04-02,300274,3.1,3.43,3.45,3.07,242032,238139610.0,12.18,9.94,0.31,2.25
2020-04-03,300274,3.4,3.26,3.42,3.21,179892,177282162.0,6.12,-4.96,-0.17,1.67
2020-04-07,300274,3.45,3.41,3.48,3.35,215473,215749133.0,3.99,4.6,0.15,2.01
2020-04-08,300274,3.35,3.41,3.45,3.33,161617,161369161.0,3.52,0.0,0.0,1.5
2020-04-09,300274,3.44,3.43,3.51,3.4,139938,140715768.0,3.23,0.59,0.02,1.3
2020-04-10,300274,3.4,3.25,3.42,3.22,159576,157325277.0,5.83,-5.25,-0.18,1.48
2020-04-13,300274,3.2,3.04,3.2,3.02,194312,185678472.0,5.54,-6.46,-0.21,1.81
2020-04-14,300274,3.11,3.24,3.27,3.07,166773,161462634.0,6.58,6.58,0.2,1.55
2020-04-15,300274,3.25,3.3,3.43,3.23,199558,197559793.0,6.17,1.85,0.06,1.86
2020-04-16,300274,3.25,3.36,3.41,3.21,192529,191027973.0,6.06,1.82,0.06,1.79
2020-04-17,300274,3.46,3.4,3.61,3.37,345267,350221360.0,7.14,1.19,0.04,3.21
2020-04-20,300274,3.4,3.33,3.45,3.24,274309,271169008.0,6.18,-2.06,-0.07,2.55
2020-04-21,300274,3.3,3.18,3.31,3.11,214475,207984450.0,6.01,-4.5,-0.15,2.0
2020-04-22,300274,3.12,3.33,3.35,3.1,207098,202254535.0,7.86,4.72,0.15,1.93
2020-04-23,300274,3.3,3.17,3.35,3.17,169534,165353341.0,5.41,-4.8,-0.16,1.58
2020-04-24,300274,3.12,3.09,3.24,3.0,173379,166263796.0,7.57,-2.52,-0.08,1.61
2020-04-27,300274,3.12,3.17,3.28,3.12,192725,187679773.0,5.18,2.59,0.08,1.79
2020-04-28,300274,3.25,3.38,3.42,2.96,348811,342264064.0,14.51,6.62,0.21,3.25
2020-04-29,300274,3.35,3.9,3.9,3.34,587940,612887696.0,16.57,15.38,0.52,5.47
2020-04-30,300274,3.83,4.04,4.23,3.8,505297,550942832.0,11.03,3.59,0.14,4.7
2020-05-06,300274,3.97,4.08,4.15,3.91,310660,338827040.0,5.94,0.99,0.04,2.89
2020-05-07,300274,4.08,4.15,4.24,3.99,311072,342968240.0,6.13,1.72,0.07,2.89
2020-05-08,300274,4.19,4.13,4.24,4.06,235100,260321330.0,4.34,-0.48,-0.02,2.19
2020-05-11,300274,4.19,4.08,4.24,4.01,257917,283960528.0,5.57,-1.21,-0.05,2.4
2020-05-12,300274,4.13,4.13,4.16,3.98,184650,202480218.0,4.41,1.23,0.05,1.72
2020-05-13,300274,4.1,4.06,4.18,4.06,161434,177427444.0,2.91,-1.69,-0.07,1.5
2020-05-14,300274,4.03,3.88,4.11,3.87,254954,274608496.0,5.91,-4.43,-0.18,2.37
2020-05-15,300274,3.94,3.77,4.01,3.74,294412,312597120.0,6.96,-2.84,-0.11,2.73
2020-05-18,300274,3.83,3.99,4.16,3.68,373619,402291376.0,12.73,5.84,0.22,3.47
2020-05-19,300274,4.24,4.46,4.53,4.21,490267,558111680.0,8.02,11.78,0.47,4.55
2020-05-20,300274,4.47,4.29,4.58,4.25,327338,373817744.0,7.4,-3.81,-0.17,3.04
2020-05-21,300274,4.38,3.9,4.44,3.83,327759,357815168.0,14.22,-9.09,-0.39,3.04
2020-05-22,300274,3.95,3.83,3.98,3.78,227671,243039616.0,5.13,-1.79,-0.07,2.11
2020-05-25,300274,3.86,3.95,3.98,3.76,200963,214947090.0,5.74,3.13,0.12,1.87
2020-05-26,300274,3.95,4.06,4.15,3.93,209851,228437728.0,5.57,2.78,0.11,1.95
2020-05-27,300274,4.08,4.01,4.25,3.96,254086,278861584.0,7.14,-1.23,-0.05,2.36
2020-05-28,300274,4.03,4.14,4.16,3.93,258055,281739984.0,5.74,3.24,0.13,2.4
2020-05-29,300274,4.1,4.29,4.33,4.07,379223,421690624.0,6.28,3.62,0.15,3.52
2020-06-01,300274,4.34,4.55,4.66,4.34,333483,385458160.0,7.46,6.06,0.26,3.1
2020-06-02,300274,4.61,4.55,4.72,4.47,289825,338433552.0,5.49,0.0,0.0,2.69
2020-06-03,300274,4.6,4.7,4.87,4.54,393274,467904960.0,7.25,3.3,0.15,3.65
2020-06-04,300274,4.74,4.59,4.8,4.56,221882,260957985.0,5.11,-2.34,-0.11,2.06
2020-06-05,300274,4.64,4.55,4.66,4.47,153206,178126279.0,4.14,-0.87,-0.04,1.42
2020-06-08,300274,4.63,4.83,4.97,4.62,317216,381048272.0,7.69,6.15,0.28,2.94
2020-06-09,300274,4.83,4.77,4.93,4.74,224193,268690880.0,3.93,-1.24,-0.06,2.08
2020-06-10,300274,4.76,4.69,4.78,4.59,156244,183484723.0,3.98,-1.68,-0.08,1.45
2020-06-11,300274,4.7,4.74,4.91,4.63,236078,281518688.0,5.97,1.07,0.05,2.19
2020-06-12,300274,4.48,4.72,4.82,4.48,192329,226776802.0,7.17,-0.42,-0.02,1.79
2020-06-15,300274,4.77,5.2,5.54,4.76,483205,606925056.0,16.53,10.17,0.48,4.49
2020-06-16,300274,5.33,5.32,5.43,5.2,290461,368756304.0,4.42,2.31,0.12,2.7
2020-06-17,300274,5.32,5.2,5.39,5.13,194960,245208384.0,4.89,-2.26,-0.12,1.81
2020-06-18,300274,5.22,5.13,5.26,5.04,196163,244059757.0,4.23,-1.35,-0.07,1.82
2020-06-19,300274,5.14,5.3,5.35,5.09,230802,290533440.0,5.07,3.31,0.17,2.14
2020-06-22,300274,5.31,5.34,5.45,5.23,279681,355575008.0,4.15,0.75,0.04,2.6
2020-06-23,300274,5.34,5.34,5.49,5.12,300469,381513456.0,6.93,0.0,0.0,2.77
2020-06-24,300274,5.47,5.96,5.99,5.36,604265,805924512.0,11.8,11.61,0.62,5.57
2020-06-29,300274,5.9,6.41,6.78,5.9,678452,960978480.0,14.77,7.55,0.45,6.26
2020-06-30,300274,6.44,6.54,6.72,6.33,362051,522194528.0,6.08,2.03,0.13,3.34
2020-07-01,300274,6.69,6.91,6.97,6.41,378607,556244048.0,8.56,5.66,0.37,3.49
2020-07-02,300274,6.91,7.18,7.24,6.77,558110,844043216.0,6.8,3.91,0.27,5.15
2020-07-03,300274,7.14,7.2,7.27,7.01,301510,458631344.0,3.62,0.28,0.02,2.78
2020-07-06,300274,7.14,7.11,7.31,6.79,628178,950197392.0,7.22,-1.25,-0.09,5.79
2020-07-07,300274,7.09,7.65,7.86,7.09,495993,786259488.0,10.83,7.59,0.54,4.57
2020-07-08,300274,7.64,7.79,7.9,7.42,347538,556604160.0,6.27,1.83,0.14,3.21
2020-07-09,300274,7.83,8.84,8.9,7.79,502569,848598208.0,14.25,13.48,1.05,4.64
2020-07-10,300274,8.68,9.08,9.44,8.25,567619,985938992.0,13.46,2.71,0.24,5.24
2020-07-13,300274,8.89,9.36,9.51,8.86,300147,542417152.0,7.16,3.08,0.28,2.77
2020-07-14,300274,9.34,9.28,9.44,8.9,314684,565898816.0,5.77,-0.85,-0.08,2.9
2020-07-15,300274,9.26,9.53,10.04,9.03,382054,705117872.0,10.88,2.69,0.25,3.52
2020-07-16,300274,9.6,8.7,9.88,8.64,344454,622368816.0,13.01,-8.71,-0.83,3.18
2020-07-17,300274,8.72,9.26,9.89,8.72,513842,937144320.0,13.45,6.44,0.56,4.74
2020-07-20,300274,9.54,9.62,9.85,9.19,288283,532110560.0,7.13,3.89,0.36,2.66
2020-07-21,300274,10.32,10.09,10.95,9.79,476566,930983840.0,12.06,4.89,0.47,4.4
2020-07-22,300274,9.87,9.91,10.32,9.74,251343,480141232.0,5.75,-1.78,-0.18,2.32
2020-07-23,300274,9.89,10.65,10.87,9.79,308474,611735184.0,10.9,7.47,0.74,2.85
2020-07-24,300274,10.34,10.22,10.7,10.04,304832,599204912.0,6.2,-4.04,-0.43,2.81
2020-07-27,300274,10.4,10.83,11.38,10.4,306039,627300752.0,9.59,5.97,0.61,2.82
2020-07-28,300274,10.98,10.43,11.08,10.11,317187,631548320.0,8.96,-3.69,-0.4,2.93
2020-07-29,300274,10.35,10.75,10.79,10.22,228176,454197744.0,5.47,3.07,0.32,2.1
2020-07-30,300274,10.82,11.18,11.33,10.61,307468,631322240.0,6.7,4.0,0.43,2.84
2020-07-31,300274,11.24,11.33,11.99,11.08,269107,573302512.0,8.14,1.34,0.15,2.48
2020-08-03,300274,11.53,10.93,11.61,10.71,406046,834732320.0,7.94,-3.53,-0.4,3.75
2020-08-04,300274,10.99,10.52,11.02,10.39,448359,899181072.0,5.76,-3.75,-0.41,4.14
2020-08-05,300274,10.54,10.73,10.95,10.4,364989,734164064.0,5.23,2.0,0.21,3.37
2020-08-06,300274,10.65,10.51,10.83,10.25,201476,400327312.0,5.41,-2.05,-0.22,1.86
2020-08-07,300274,10.54,10.5,10.77,10.12,224055,443043008.0,6.18,-0.1,-0.01,2.07
2020-08-10,300274,10.66,11.93,11.93,10.61,323250,693904752.0,12.57,13.62,1.43,2.98
2020-08-11,300274,12.51,12.83,13.17,12.51,495728,1144367536.0,5.53,7.54,0.9,4.57
2020-08-12,300274,12.65,11.19,12.86,11.18,601130,1279959120.0,13.09,-12.78,-1.64,5.54
2020-08-13,300274,11.47,11.22,11.91,11.18,325852,693159536.0,6.52,0.27,0.03,3.01
2020-08-14,300274,11.29,11.28,11.47,10.76,278219,576924032.0,6.33,0.53,0.06,2.57
2020-08-17,300274,11.41,11.36,11.5,11.08,164911,346288816.0,3.72,0.71,0.08,1.52
2020-08-18,300274,11.36,11.33,11.54,11.23,161814,340734096.0,2.73,-0.26,-0.03,1.49
2020-08-19,300274,11.56,10.55,11.56,10.52,257872,521750912.0,9.18,-6.88,-0.78,2.38
2020-08-20,300274,10.51,10.11,10.63,10.01,232343,453257600.0,5.88,-4.17,-0.44,2.14
2020-08-21,300274,10.13,10.25,10.57,10.13,162131,318361840.0,4.35,1.38,0.14,1.5
2020-08-24,300274,10.32,11.17,11.35,10.05,318802,646848686.0,12.68,8.98,0.92,2.94
2020-08-25,300274,11.04,11.1,11.58,10.9,213660,445899200.0,6.09,-0.63,-0.07,1.97
2020-08-26,300274,11.13,10.68,11.29,10.54,208836,423121818.0,6.76,-3.78,-0.42,1.93
2020-08-27,300274,10.97,11.29,11.4,10.63,206232,426811295.0,7.21,5.71,0.61,1.9
2020-08-28,300274,11.33,11.86,11.94,11.17,232412,498213165.0,6.82,5.05,0.57,2.14
2020-08-31,300274,12.07,11.99,12.33,11.66,234486,513696416.0,5.65,1.1,0.13,2.16
2020-09-01,300274,11.9,12.16,12.19,11.66,163557,357607368.0,4.42,1.42,0.17,1.51
2020-09-02,300274,12.29,12.23,12.72,11.74,218224,482916362.0,8.06,0.58,0.07,2.01
2020-09-03,300274,12.19,11.97,12.24,11.86,122163,268628302.0,3.11,-2.13,-0.26,1.13
2020-09-04,300274,11.55,11.96,12.01,11.46,132203,285612805.0,4.59,-0.08,-0.01,1.22
2020-09-07,300274,12.04,11.71,12.47,11.67,185296,408005376.0,6.69,-2.09,-0.25,1.71
2020-09-08,300274,11.89,11.71,11.93,11.49,125899,271439952.0,3.76,0.0,0.0,1.16
2020-09-09,300274,11.58,10.88,11.65,10.49,235600,481709456.0,9.91,-7.09,-0.83,2.17
2020-09-10,300274,11.08,10.86,11.45,10.8,153811,319443760.0,5.97,-0.18,-0.02,1.42
2020-09-11,300274,10.86,13.78,13.78,10.75,417360,955334236.0,27.9,26.89,2.92,3.85
2020-09-14,300274,15.5,13.85,16.7,13.33,955200,2463309352.0,24.46,0.51,0.07,8.81
2020-09-15,300274,13.84,13.91,14.62,13.48,616889,1526643849.0,8.23,0.43,0.06,5.69
2020-09-16,300274,13.78,15.12,16.63,13.78,817426,2171869068.0,20.49,8.7,1.21,7.54
2020-09-17,300274,15.3,16.59,17.32,14.92,908302,2522770822.0,15.87,9.72,1.47,8.38
2020-09-18,300274,16.77,16.35,16.77,15.7,672310,1874816519.0,6.45,-1.45,-0.24,6.2
2020-09-21,300274,16.7,15.32,16.83,15.22,684544,1852040947.0,9.85,-6.3,-1.03,6.31
2020-09-22,300274,15.26,14.99,15.6,14.94,393101,1041764452.0,4.31,-2.15,-0.33,3.63
2020-09-23,300274,15.19,17.65,18.68,15.19,847561,2406980330.0,23.28,17.75,2.66,7.82
2020-09-24,300274,16.94,15.54,18.13,14.93,930203,2600243088.0,18.13,-11.95,-2.11,8.58
2020-09-25,300274,15.7,15.52,16.41,15.15,502760,1374571954.0,8.11,-0.13,-0.02,4.64
2020-09-28,300274,15.98,16.16,17.32,15.79,597425,1681882512.0,9.86,4.12,0.64,5.51
2020-09-29,300274,16.51,15.52,16.7,15.38,568033,1545685574.0,8.17,-3.96,-0.64,5.24
2020-09-30,300274,15.73,15.98,16.92,15.49,567079,1573713373.0,9.21,2.96,0.46,5.23
2020-10-09,300274,18.83,19.18,19.7,18.35,769397,2444917004.0,8.45,20.03,3.2,7.1
2020-10-12,300274,19.49,19.36,20.16,18.81,843075,2703897808.0,7.04,0.94,0.18,7.78
2020-10-13,300274,19.09,18.78,19.29,18.05,618850,1936316944.0,6.4,-3.0,-0.58,5.71
2020-10-14,300274,18.82,18.92,20.14,18.82,828270,2674361576.0,7.03,0.75,0.14,7.64
2020-10-15,300274,18.67,18.08,19.09,17.69,583745,1779773946.0,7.4,-4.44,-0.84,5.38
2020-10-16,300274,18.06,18.08,18.68,17.56,454599,1379736608.0,6.19,0.0,0.0,4.19
2020-10-19,300274,18.26,16.91,18.3,16.83,512926,1510650016.0,8.13,-6.47,-1.17,4.73
2020-10-20,300274,17.23,17.74,18.09,16.83,428851,1265775120.0,7.45,4.91,0.83,3.96
2020-10-21,300274,18.05,17.26,18.45,16.84,380852,1124773936.0,9.08,-2.71,-0.48,3.51
2020-10-22,300274,16.64,16.91,17.27,16.21,320475,915894688.0,6.14,-2.03,-0.35,2.96
2020-10-23,300274,17.19,16.32,17.6,15.98,307126,877035856.0,9.58,-3.49,-0.59,2.83
2020-10-26,300274,16.35,17.79,18.13,15.78,494503,1462573184.0,14.4,9.01,1.47,4.56
2020-10-27,300274,17.74,18.15,18.18,17.33,387857,1165769024.0,4.78,2.02,0.36,3.58
2020-10-28,300274,18.13,18.87,19.34,17.92,503983,1578978784.0,7.82,3.97,0.72,4.65
2020-10-29,300274,18.49,19.46,20.34,18.42,484852,1570291744.0,10.17,3.13,0.59,4.47
2020-10-30,300274,24.09,24.1,24.1,22.09,1021609,3885415392.0,10.33,23.84,4.64,9.42
2020-11-02,300274,24.14,28.76,29.59,23.87,1039520,4478588160.0,23.73,19.34,4.66,9.59
2020-11-03,300274,29.26,29.08,29.58,27.45,720592,3243321200.0,7.41,1.11,0.32,6.65
2020-11-04,300274,28.89,28.02,30.24,25.94,804327,3549962368.0,14.79,-3.65,-1.06,7.42
2020-11-05,300274,29.02,28.88,29.59,27.66,671148,3034057136.0,6.89,3.07,0.86,6.19
2020-11-06,300274,29.45,27.37,29.48,26.78,568828,2498030624.0,9.35,-5.23,-1.51,5.25
2020-11-09,300274,27.67,28.02,29.24,26.95,649441,2880808576.0,8.37,2.37,0.65,5.99
2020-11-10,300274,27.56,30.1,31.6,27.1,791990,3691270160.0,16.06,7.42,2.08,7.3
2020-11-11,300274,29.26,27.46,29.57,27.46,543574,2456579328.0,7.01,-8.77,-2.64,5.01
2020-11-12,300274,28.71,30.5,30.5,28.04,626852,2863499968.0,8.96,11.07,3.04,5.78
2020-11-13,300274,30.37,29.49,30.45,28.04,567886,2602935456.0,7.9,-3.31,-1.01,5.24
2020-11-16,300274,29.63,29.13,30.11,27.65,437230,1994980192.0,8.34,-1.22,-0.36,4.03
2020-11-17,300274,28.84,28.51,29.59,27.44,355962,1590788608.0,7.38,-2.13,-0.62,3.28
2020-11-18,300274,28.15,27.87,29.41,26.23,492206,2169439904.0,11.15,-2.24,-0.64,4.54
2020-11-19,300274,27.73,27.75,28.77,27.03,373026,1648150304.0,6.24,-0.43,-0.12,3.44
2020-11-20,300274,28.28,29.0,29.67,27.66,405951,1837647952.0,7.24,4.5,1.25,3.74
2020-11-23,300274,29.03,32.75,33.85,28.6,691853,3468789184.0,18.1,12.93,3.75,6.38
2020-11-24,300274,32.17,33.0,33.72,31.62,448108,2277349776.0,6.41,0.76,0.25,4.13
2020-11-25,300274,32.82,30.93,33.01,30.69,396365,1948356592.0,7.03,-6.27,-2.07,3.66
2020-11-26,300274,30.67,30.66,31.02,29.38,293869,1390024640.0,5.3,-0.87,-0.27,2.71
2020-11-27,300274,30.81,29.89,30.81,29.48,238986,1124682144.0,4.34,-2.51,-0.77,2.2
2020-11-30,300274,30.17,30.71,30.71,28.76,337754,1594110752.0,6.52,2.74,0.82,3.12
2020-12-01,300274,30.17,31.31,32.42,29.71,389264,1897753200.0,8.82,1.95,0.6,3.59
2020-12-02,300274,30.88,30.19,31.59,29.74,305061,1449537824.0,5.91,-3.58,-1.12,2.81
2020-12-03,300274,30.02,30.49,30.76,29.39,240590,1135048864.0,4.54,0.99,0.3,2.22
2020-12-04,300274,30.3,29.95,30.88,29.31,262680,1235754160.0,5.15,-1.77,-0.54,2.42
2020-12-07,300274,30.31,31.24,32.49,29.63,378066,1840086352.0,9.55,4.31,1.29,3.49
2020-12-08,300274,31.53,33.45,34.44,31.31,447067,2317451616.0,10.02,7.07,2.21,4.12
2020-12-09,300274,34.14,32.72,35.54,32.52,392795,2063358016.0,9.03,-2.18,-0.73,3.62
2020-12-10,300274,33.39,36.67,37.29,32.46,568768,3084921280.0,14.76,12.07,3.95,5.25
2020-12-11,300274,36.67,35.04,37.29,34.62,442526,2434229280.0,7.28,-4.45,-1.63,4.08
2020-12-14,300274,36.26,37.22,38.55,35.53,481728,2736513264.0,8.62,6.22,2.18,4.44
2020-12-15,300274,37.62,40.69,41.13,37.47,583985,3496858272.0,9.83,9.32,3.47,5.39
2020-12-16,300274,41.13,41.41,41.97,39.73,414213,2578459424.0,5.51,1.77,0.72,3.82
2020-12-17,300274,40.76,40.7,41.02,39.02,432262,2625848592.0,4.83,-1.71,-0.71,3.99
2020-12-18,300274,40.2,40.25,41.88,39.35,411165,2548573360.0,6.22,-1.11,-0.45,3.79
2020-12-21,300274,41.27,43.49,44.05,40.55,529364,3409164416.0,8.7,8.05,3.24,4.88
2020-12-22,300274,42.85,41.34,44.49,40.95,510911,3321918992.0,8.14,-4.94,-2.15,4.71
2020-12-23,300274,43.02,46.37,48.84,43.02,627415,4350545152.0,14.08,12.17,5.03,5.79
2020-12-24,300274,46.08,46.71,48.76,44.37,436482,3078078448.0,9.47,0.73,0.34,4.03
2020-12-25,300274,47.14,49.8,51.14,46.07,504382,3661960128.0,10.85,6.62,3.09,4.65
2020-12-28,300274,49.85,49.27,49.87,46.87,607841,4389143296.0,6.02,-1.06,-0.53,5.61
2020-12-29,300274,48.08,43.78,48.3,42.22,743915,5022856960.0,12.34,-11.14,-5.49,6.86
2020-12-30,300274,44.38,44.97,46.31,44.38,465516,3189672336.0,4.41,2.72,1.19,4.29
2020-12-31,300274,46.41,48.06,48.4,46.34,477403,3409504528.0,4.58,6.87,3.09,4.4
2021-01-04,300274,48.35,52.3,54.86,45.71,673025,5039469568.0,19.04,8.82,4.24,6.2
2021-01-05,300274,51.01,51.31,54.01,50.47,511363,3961995232.0,6.77,-1.89,-0.99,4.71
2021-01-06,300274,51.46,53.71,54.65,50.35,446665,3476696384.0,8.38,4.68,2.4,4.12
2021-01-07,300274,55.24,60.04,61.03,55.14,586870,5052361984.0,10.97,11.79,6.33,5.41
2021-01-08,300274,60.04,57.34,60.84,55.76,680195,5846915072.0,8.46,-4.5,-2.7,6.27
2021-01-11,300274,56.82,54.32,56.82,52.02,528101,4282124816.0,8.37,-5.27,-3.02,4.87
2021-01-12,300274,54.31,58.54,60.04,53.43,530120,4509194496.0,12.17,7.77,4.22,4.89
2021-01-13,300274,58.25,59.47,62.76,57.87,498307,4451998976.0,8.35,1.59,0.93,4.59
2021-01-14,300274,59.32,59.9,62.59,56.31,543276,4800479744.0,10.56,0.72,0.43,5.01
2021-01-15,300274,57.49,56.55,58.36,53.54,587215,4899377920.0,8.05,-5.59,-3.35,5.41
2021-01-18,300274,55.31,57.96,59.06,53.24,422871,3572266208.0,10.29,2.49,1.41,3.89
2021-01-19,300274,58.36,56.39,59.75,55.3,396547,3387312736.0,7.68,-2.71,-1.57,3.65
2021-01-20,300274,57.16,62.33,62.58,56.75,564733,5046978560.0,10.34,10.53,5.94,5.2
2021-01-21,300274,63.62,63.19,63.63,60.9,532386,4893236992.0,4.38,1.38,0.86,4.9
2021-01-22,300274,62.9,67.06,67.92,62.83,543419,5307641600.0,8.06,6.12,3.87,5.0
2021-01-25,300274,67.2,69.71,77.68,66.35,810472,8559587584.0,16.9,3.95,2.65,7.46
2021-01-26,300274,67.2,64.75,68.12,63.89,867106,8400923648.0,6.07,-7.12,-4.96,7.98
2021-01-27,300274,66.41,71.14,71.14,62.55,721149,7084138496.0,13.27,9.87,6.39,6.64
2021-01-28,300274,67.21,67.63,70.35,67.2,478170,4815718912.0,4.43,-4.93,-3.51,4.4
2021-01-29,300274,68.86,71.36,72.47,65.13,691171,7067202560.0,10.85,5.52,3.73,6.36
2021-02-01,300274,70.78,65.68,72.65,63.98,743884,7403015168.0,12.15,-7.96,-5.68,6.85
2021-02-02,300274,66.63,66.77,68.75,64.81,506163,4995078144.0,6.0,1.66,1.09,4.66
2021-02-03,300274,69.34,70.8,74.85,69.34,708430,7481423616.0,8.25,6.04,4.03,6.52
2021-02-04,300274,71.64,74.72,75.8,71.57,601221,6519232000.0,5.97,5.54,3.92,5.53
2021-02-05,300274,73.66,78.81,80.33,73.65,626793,7130616576.0,8.94,5.47,4.09,5.77
2021-02-08,300274,78.23,77.2,79.17,71.19,582667,6431222272.0,10.13,-2.04,-1.61,5.36
2021-02-09,300274,77.27,76.89,79.11,74.02,548028,6177852928.0,6.59,-0.4,-0.31,5.04
2021-02-10,300274,78.81,81.59,83.81,77.16,645148,7610655488.0,8.65,6.11,4.7,5.94
2021-02-18,300274,82.25,79.01,83.22,75.8,588190,6853962496.0,9.09,-3.16,-2.58,5.41
2021-02-19,300274,77.02,76.64,78.11,72.7,504500,5582222592.0,6.85,-3.0,-2.37,4.64
2021-02-22,300274,74.28,62.44,74.79,61.67,1085128,10922641152.0,17.12,-18.53,-14.2,9.99
2021-02-23,300274,60.76,61.29,64.73,60.06,680243,6285565696.0,7.48,-1.84,-1.15,6.26
2021-02-24,300274,62.76,59.68,63.12,57.17,732424,6515286016.0,9.71,-2.63,-1.61,6.74
2021-02-25,300274,61.11,58.84,61.4,58.53,455888,4033022832.0,4.81,-1.41,-0.84,4.2
2021-02-26,300274,55.72,58.23,58.25,54.08,574150,4835041280.0,7.09,-1.04,-0.61,5.29
2021-03-01,300274,59.9,60.2,61.9,58.36,582780,5186828544.0,6.08,3.38,1.97,5.36
2021-03-02,300274,60.54,57.17,61.48,56.46,588208,5133790720.0,8.34,-5.03,-3.03,5.41
2021-03-03,300274,56.45,57.6,58.16,55.39,462219,3906037456.0,4.85,0.75,0.43,4.25
2021-03-04,300274,55.99,48.21,55.99,47.71,1137524,8611578368.0,14.38,-16.3,-9.39,10.47
2021-03-05,300274,47.57,51.39,52.94,47.56,918747,7007219968.0,11.16,6.6,3.18,8.46
2021-03-08,300274,51.08,46.68,51.44,46.16,875250,6328804864.0,10.27,-9.17,-4.71,8.06
2021-03-09,300274,47.87,45.08,48.93,44.85,787844,5546946816.0,8.74,-3.43,-1.6,7.25
2021-03-10,300274,47.05,45.77,47.48,45.2,596352,4163759072.0,5.06,1.53,0.69,5.49
2021-03-11,300274,46.04,48.9,49.92,45.64,716424,5196507904.0,9.35,6.84,3.13,6.59
2021-03-12,300274,50.15,52.63,54.0,48.94,828525,6345260544.0,10.35,7.63,3.73,7.63
2021-03-15,300274,50.73,47.33,51.32,45.72,761888,5475144960.0,10.64,-10.07,-5.3,7.01
